Restaurant Name,Type Of Restaurant,Address,Contact,Rating,Menu Url,Live Location,Website Url,Instagram Url
LAO Dubai,Southeast Asian restaurant,East - Crescent Rd - The Palm Jumeirah - Dubai - United Arab Emirates,+971 4 818 2157,4.6,https://fbwapalm.wixsite.com/laodubai,https://www.google.com/maps/place/LAO+Dubai/data=!4m7!3m6!1s0x3e5f6ac50922a855:0x24251e75c44464aa!8m2!3d25.1342914!4d55.1507935!16s%2Fg%2F11bbwn55vn!19sChIJVagiCcVqXz4RqmRExHUeJSQ?authuser=0&hl=en&rclk=1,https://linktr.ee/lao.dubai,https://www.instagram.com/lao.dubai/
The Restaurant At Address Downtown,Restaurant,"Lobby Level, Address Downtown Sheikh Mohammed Bin Rashed Boulevard, Downtown Dubai, 123234 - Dubai - United Arab Emirates",+971 4 436 8888,4.7,,https://www.google.com/maps/place/The+Restaurant+At+Address+Downtown/data=!4m7!3m6!1s0x3e5f6828e50a0e99:0xbd45890006497b3e!8m2!3d25.1946108!4d55.2790977!16s%2Fg%2F11f26l_w3v!19sChIJmQ4K5ShoXz4RPntJBgCJRb0?authuser=0&hl=en&rclk=1,http://www.addresshotels.com/,https://www.instagram.com/addresshotels/
Mama'esh Business Bay ممائيش الخليج التجاري,Middle Eastern restaurant,"BAYSWATER TOWER, WATERFRONT, NEXT TO DUBAI ISLAMIC BANK - Marasi Dr - Dubai - United Arab Emirates",+971 600 548287,4.6,https://www.mamaesh.com/menu-en,https://www.google.com/maps/place/Mama%27esh+Business+Bay+%D9%85%D9%85%D8%A7%D8%A6%D9%8A%D8%B4+%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC+%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e5f69cd9d534181:0x145c522ff864e905!8m2!3d25.184047!4d55.264635!16s%2Fg%2F11b8zhn4df!19sChIJgUFTnc1pXz4RBelk-C9SXBQ?authuser=0&hl=en&rclk=1,http://www.mamaesh.com/,https://www.instagram.com/mamaeshme/
KRASOTA Dubai restaurant,Restaurant,Address Downtown Hotel - G Floor Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,+971 4 433 1258,4.9,http://places.singleplatform.com/krasota-dubai/menu?ref=google,https://www.google.com/maps/place/KRASOTA+Dubai+restaurant/data=!4m7!3m6!1s0x3e5f69fc79e79337:0x88479c965c0e4f24!8m2!3d25.1938578!4d55.2791595!16s%2Fg%2F11shnpk_kk!19sChIJN5PnefxpXz4RJE8OXJacR4g?authuser=0&hl=en&rclk=1,https://krasota.art/general-information,https://www.instagram.com/krasota.restaurant.dubai/
The Nice Guy,Restaurant,"Sheikh Zayed Road, Ground Level, The Boulevard, Emirates Towers - Dubai - United Arab Emirates",+971 4 276 9888,4.4,,https://www.google.com/maps/place/The+Nice+Guy/data=!4m7!3m6!1s0x3e5f434b4881edfb:0x7814da3617ddcd22!8m2!3d25.2171064!4d55.2826107!16s%2Fg%2F11s60h521n!19sChIJ--2BSEtDXz4RIs3dFzbaFHg?authuser=0&hl=en&rclk=1,https://hwoodgroup.com/venue/the-nice-guy-dubai/,https://www.instagram.com/hwoodgroup/
Carnival by Trèsind Restaurant & Bar,Restaurant,The Buildings by Daman - 312 Al Sa'ada Street - Za'abeel - DIFC - Dubai - United Arab Emirates,+971 52 242 4262,4.5,https://carnivalbytresind.com/menu/,https://www.google.com/maps/place/Carnival+by+Tr%C3%A8sind+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3e5f429031bbeda3:0x9790a3fc5cab2ad4!8m2!3d25.2116863!4d55.28187!16s%2Fg%2F11cn6hkg4t!19sChIJo-27MZBCXz4R1CqrXPyjkJc?authuser=0&hl=en&rclk=1,http://www.carnivalbytresind.com/,https://www.instagram.com/carnivalbytresind/?hl=en
The Talk Restaurant,Continental restaurant,The Walk at - Jumeirah Beach Residence - Dubai - United Arab Emirates,+971 4 449 8888,4.1,https://movenpick.accor.com/en/middle-east/uae/dubai/hotel-dubai-jumeirah-beach/restaurants/the-talk-restaurant.html?utm_source=google+Maps&utm_medium=seo+maps&utm_content=restaurant-B4I9-the_talk&utm_campaign=seo+maps,https://www.google.com/maps/place/The+Talk+Restaurant/data=!4m7!3m6!1s0x3e5f14ab3babd8eb:0xc5ea6b49be930866!8m2!3d25.0802555!4d55.1368446!16s%2Fg%2F11bbwpk9vc!19sChIJ69irO6sUXz4RZgiTvklr6sU?authuser=0&hl=en&rclk=1,https://movenpick.accor.com/en/middle-east/uae/dubai/hotel-dubai-jumeirah-beach/restaurants/the-talk-restaurant.html?utm_source=google+Maps&utm_medium=seo+maps&utm_content=restaurant-B4I9-the_talk&utm_campaign=seo+maps,https://www.instagram.com/movenpickhotels/
"Bombay Brasserie, Taj Dubai",Restaurant,Burj Khalifa St - Business Bay - Dubai - United Arab Emirates,+971 4 438 3222,4.4,,"https://www.google.com/maps/place/Bombay+Brasserie,+Taj+Dubai/data=!4m7!3m6!1s0x3e5f69d454c191bd:0x5557deef6186fead!8m2!3d25.1924605!4d55.2671957!16s%2Fg%2F11gb3vvksj!19sChIJvZHBVNRpXz4Rrf6GYe_eV1U?authuser=0&hl=en&rclk=1",https://www.tajhotels.com/en-in/taj/taj-dubai/restaurants/bombay-brasserie/?utm_source=Google&utm_Campaign=taj-taj-dubai-bombay-brasserie&utm_medium=Local,https://www.instagram.com/tajhotels/?hl=en&sessionId=842c0819-9973-4fa6-8f2c-0e6c51f1d3af.0133bfcc-6868-4669-9f11-574016843b64&jarvisId=8a620a27-17e3-4602-a5a1-4450bf3b1636
Summer Place Dubai,Asian restaurant,Al habtoor City V Hotel Dubai - Dubai - United Arab Emirates,+971 58 216 3407,4.8,https://summerplacebylifestyle.com/menu/,https://www.google.com/maps/place/Summer+Place+Dubai/data=!4m7!3m6!1s0x3e5f697affce1137:0x46af7d57b8bb25f5!8m2!3d25.184524!4d55.2544642!16s%2Fg%2F11m8fzmsgq!19sChIJNxHO_3ppXz4R9SW7uFd9r0Y?authuser=0&hl=en&rclk=1,http://www.summerplacebylifestyle.com/,https://www.instagram.com/summerplacedubai/
Cipriani Dubai,Italian restaurant,DIFC Gate Village 10 - towards DIFC Parking - DIFC - Dubai - United Arab Emirates,+971 4 347 0003,4.2,,https://www.google.com/maps/place/Cipriani+Dubai/data=!4m7!3m6!1s0x3e5f429193b5cc6b:0xe678009aa6ff91b1!8m2!3d25.2139562!4d55.2818597!16s%2Fg%2F11clydmqd7!19sChIJa8y1k5FCXz4RsZH_ppoAeOY?authuser=0&hl=en&rclk=1,http://ciprianidubai.com/,https://www.instagram.com/ciprianidxb/
Asia Asia Dubai Marina,Asian fusion restaurant,"Dubai Marina Mall, 6th Floor, Pier 7 - Sheikh Zayed Rd - Dubai - United Arab Emirates",+971 4 423 8301,4.2,https://www.solutions-leisure.com/wp-content/uploads/2022/02/ONLINE-2023_06_08_AA_P7-A-LA-CARTE-MENU-copy-2.pdf,https://www.google.com/maps/place/Asia+Asia+Dubai+Marina/data=!4m7!3m6!1s0x3e5f6caaeee5df95:0xe85c3924c9d6fb16!8m2!3d25.0761301!4d55.1387721!16s%2Fg%2F11cn6jkh_0!19sChIJld_l7qpsXz4RFvvWySQ5XOg?authuser=0&hl=en&rclk=1,https://www.solutions-leisure.com/venues/asia-asia-pier-7/,https://www.instagram.com/solutionsleisure/
The Boardwalk,Mediterranean restaurant,Dubai Creek Resort - Port Saeed - Dubai - United Arab Emirates,+971 4 205 4647,4.4,https://www.hyattrestaurants.com/en/dining/uae/dubai/the-boardwalk-restaurant-menu?utm_source=google&utm_medium=gmblisting_dxbph&utm_campaign=boardwalk&utm_term=menu,https://www.google.com/maps/place/The+Boardwalk/data=!4m7!3m6!1s0x3e5f5d2386f3a819:0xa1f43e72b95bb5bf!8m2!3d25.2458848!4d55.3313795!16s%2Fg%2F1hd_7jjw7!19sChIJGajzhiNdXz4Rv7VbuXI-9KE?authuser=0&hl=en&rclk=1,https://www.hyattrestaurants.com/en/dining/uae/dubai/mediterranean-restaurant-in-dubai-creek-the-boardwalk?utm_source=google&utm_medium=gmblisting_dxbph&utm_campaign=boardwalk,https://www.instagram.com/boardwalkdubai/
TÀN CHÁ Restaurant,Chinese restaurant,JW Marriott Marquis Hotel - Business Bay - Dubai - United Arab Emirates,+971 56 681 8881,4.8,https://tanchadubai.com/wp-content/uploads/2023/06/Food-Menu-.pdf,https://www.google.com/maps/place/T%C3%80N+CH%C3%81+Restaurant/data=!4m7!3m6!1s0x3e5f699f10878bdd:0x674ca6978c0ddbe3!8m2!3d25.1853949!4d55.2580752!16s%2Fg%2F11spvydy4m!19sChIJ3YuHEJ9pXz4R49sNjJemTGc?authuser=0&hl=en&rclk=1,https://tanchadubai.com/,https://www.instagram.com/tanchadubai/
City Social,Modern European restaurant,Al Emreef St - Dubai Marina - Dubai - United Arab Emirates,+971 4 402 2222,4.6,,https://www.google.com/maps/place/City+Social/data=!4m7!3m6!1s0x3e5f6bf473c71e37:0x328d202d5cfc2d0c!8m2!3d25.0859304!4d55.1436812!16s%2Fg%2F11trfy3jx8!19sChIJNx7Hc_RrXz4RDC38XC0gjTI?authuser=0&hl=en&rclk=1,https://www.citysocialdubai.com/,https://www.instagram.com/citysocial_dubai/
Wakame Dubai,Asian restaurant,3rd Floor – Sofitel Dubai Downtown - Sheikh Zayed Rd - Dubai - United Arab Emirates,+971 4 224 6663,4.5,https://wakame.ae/,https://www.google.com/maps/place/Wakame+Dubai/data=!4m7!3m6!1s0x3e5f427de10d0c61:0x2b2707dbb9e62fff!8m2!3d25.2004238!4d55.2689918!16s%2Fg%2F11bwpz0khl!19sChIJYQwN4X1CXz4R_y_mudsHJys?authuser=0&hl=en&rclk=1,https://wakame.ae/,https://www.instagram.com/wakamedubai/
Praia Dubai Beach Restaurant & Lounge,Restaurant,No. 1 Palm Jumeirah - Dubai - Dubai - United Arab Emirates,+971 58 870 0708,4.8,,https://www.google.com/maps/place/Praia+Dubai+Beach+Restaurant+%26+Lounge/data=!4m7!3m6!1s0x3e5f6b377a8871d1:0x9ece2978c043f88b!8m2!3d25.1036222!4d55.148063!16s%2Fg%2F11f3nm2wt7!19sChIJ0XGIejdrXz4Ri_hDwHgpzp4?authuser=0&hl=en&rclk=1,https://www.praiadxb.com/,https://www.instagram.com/praiadubai/
"The MAINE Land Brasserie, Business Bay Dubai",Restaurant,The Opus by Omniyat - Ground Floor - Al A'amal St - Dubai - United Arab Emirates,+971 4 577 6680,4.7,https://www.themainelandbrasserie.com/a-la-carte-menu,"https://www.google.com/maps/place/The+MAINE+Land+Brasserie,+Business+Bay+Dubai/data=!4m7!3m6!1s0x3e5f69dad6dda6a5:0x9fb22372a58d038f!8m2!3d25.1884918!4d55.267011!16s%2Fg%2F11j0b3fgk7!19sChIJpabd1tppXz4RjwONpXIjsp8?authuser=0&hl=en&rclk=1",https://themaine.ae/landbrasserie,https://www.instagram.com/themainedxb/
Peppercrab,Singaporean restaurant,Grand Hyatt Dubai Convention Centre - Sheikh Rashid Rd - Umm Hurair 2 - Dubai - United Arab Emirates,+971 4 317 2221,4.4,https://www.hyattrestaurants.com/en/dining/uae/dubai/peppercrab-restaurant-menu?utm_source=gmblisting_dxbgh&utm_medium=peppercrab_menu&utm_campaign=GMB,https://www.google.com/maps/place/Peppercrab/data=!4m7!3m6!1s0x3e5f6788de778901:0x3375368dbf30d365!8m2!3d25.2284901!4d55.3284997!16s%2Fg%2F1vtqtkvh!19sChIJAYl33ohnXz4RZdMwv402dTM?authuser=0&hl=en&rclk=1,https://www.hyattrestaurants.com/en/dining/uae/dubai/seafood-restaurant-in-garhoud-peppercrab?utm_source=gmblisting_dxbgh&utm_medium=peppercrab&utm_campaign=GMB,https://www.instagram.com/eatgrand.dxb/
Moonrise,Restaurant,"Eden House, Al Satwa - Al Satwa - Dubai - United Arab Emirates",+971 50 697 2946,4.9,,https://www.google.com/maps/place/Moonrise/data=!4m7!3m6!1s0x3e5f43ecbdcba24b:0xf7ec4873dceff450!8m2!3d25.2191826!4d55.2772754!16s%2Fg%2F11qg0t4rwm!19sChIJS6LLvexDXz4RUPTv3HNI7Pc?authuser=0&hl=en&rclk=1,http://www.moon-rise.xyz/,https://www.instagram.com/moonrise.xyz/
